"X","Nom.cité.dans.le.texte","Nom.français.cité.dans.le.texte","Nom.valide","INTITULE","ARRETE","ARTICLE","CD_NOM"
NA,"Ononis pusilla L.","Bugrane naine","Ononis pusilla L., 1759","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",110221
NA,"Ophioglossum vulgatum L.","Ophioglosse commun","Ophioglossum vulgatum L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",110313
NA,"Ophrys sphegodes Mill.","Ophrys araignée","Ophrys aranifera Huds., 1778 subsp. aranifera","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",162331
NA,"Ophrys sphegodes Mill.","Ophrys araignée","Ophrys aranifera subsp. massiliensis (Viglione & Véla) Véla, 2007","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",621126
NA,"Ophrys sphegodes Mill.","Ophrys araignée","Ophrys aranifera subsp. praecox (Corrias) Véla, 2008","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",718256
NA,"Ophrys sphegodes Mill.","Ophrys araignée","Ophrys aranifera Huds., 1778","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",110345
NA,"Orchis palustris Jacq.","Orchis des marais","Anacamptis palustris (Jacq.) R.M.Bateman, Pridgeon & M.W.Chase, 1997","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",82286
NA,"Orchis ustulata L.","Orchis brûlé","Neotinea ustulata (L.) R.M.Bateman, Pridgeon & M.W.Chase, 1997 var. ustulata","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",162137
NA,"Orchis ustulata L.","Orchis brûlé","Neotinea ustulata var. aestivalis (Kümpel) Tali, M.F.Fay & R.M.Bateman, 2006","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",718722
NA,"Orchis ustulata L.","Orchis brûlé","Neotinea ustulata (L.) R.M.Bateman, Pridgeon & M.W.Chase, 1997","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",109501
NA,"Oreopteris limbosperma (All.) Holub.","Fougère des montagnes","Oreopteris limbosperma (All.) Holub, 1969","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",111239
NA,"Orobanche elatior Sutton","Orobanche élevée","Orobanche elatior Sutton, 1798","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",111532
NA,"Osmunda regalis L.","Osmonde royale","Osmunda regalis L., 1753 var. regalis","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",970784
NA,"Osmunda regalis L.","Osmonde royale","Osmunda regalis L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",111815
NA,"Parnassia palustris L.","Parnassie des marais","Parnassia palustris L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",112426
NA,"Pedicularis palustris L.","Pédiculaire des marais","Pedicularis palustris L., 1753 subsp. palustris","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",138634
NA,"Pedicularis palustris L.","Pédiculaire des marais","Pedicularis palustris L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",112590
NA,"Peucedanum palustre (L.) Moench","Peucédan des marais","Thysselinum palustre (L.) Hoffm., 1814","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",126615
NA,"Phyteuma nigrum F.W. Schmidt","Raiponce noire","Phyteuma nigrum F.W.Schmidt, 1793","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",113388
NA,"Pinguicula vulgaris L.","Grassette commune","Pinguicula vulgaris L., 1753 subsp. vulgaris","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",762169
NA,"Pinguicula vulgaris L.","Grassette commune","Pinguicula vulgaris L., 1753 var. vulgaris","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",718748
NA,"Pinguicula vulgaris L.","Grassette commune","Pinguicula vulgaris var. alpicola Rchb., 1823","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",149489
NA,"Pinguicula vulgaris L.","Grassette commune","Pinguicula vulgaris L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",113639
NA,"Poa palustris L.","Paturin des marais","Poa palustris L., 1759","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",114312
NA,"Polygala comosa Schkuhr","Polygala chevelu","Polygala comosa Schkuhr, 1796","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",114545
NA,"Potamogeton alpinus Balbis","Potamot des Alpes","Potamogeton alpinus Balb., 1804","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",115228
NA,"Potamogeton coloratus Hornem.","Potamot coloré","Potamogeton coloratus Hornem., 1813","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",115237
NA,"Potamogeton gramineus L.","Potamot graminée","Potamogeton gramineus L., 1753","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",115258
NA,"Potamogeton polygonifolius Pourr.","Potamot à feuilles de Renouée","Potamogeton polygonifolius Pourr., 1788","Liste des espèces végétales protégées en région Picardie","Arrêté interministériel du 17 août 1989 relatif à la liste des espèces végétales protégées en région Picardie complétant la liste nationale","Article 1",115301
